,Name,Product_price,Discount,Sale_price,Shop,Brand,Warranty,Warranty_way,Warranty_place,Sold,Rate,Comment,5,4,3,2,1,m_link
18,"CHUỘT MÁY TÍNH CÓ DÂY VĂN PHÒNG HỘP GIẤY SN,DL...",71.5,0,71.5,HOÀNG NHÂN COMPUTER,OEM,0.0,0,0,13.0,5.0,2.0,2,0,0,0,0,https://tiki.vn/chuot-may-tinh-co-day-van-phong-hop-giay-sn-dl-p96087730.html?spid=96087860
19,Chuột Máy Tính M20 Có Dây,45.0,0,45.0,MuaOnlineShop,OEM,0.0,0,0,0.0,0.0,0,0,0,0,0,0,https://tiki.vn/chuot-may-tinh-m20-co-day-p124276524.html?spid=124276525
20,Chuột Máy Tính Chuyên Game DRLM066 tặng miếng lót chuột,159.0,0,159.0,Banbuonsile,OEM,0.0,0,0,21.0,3.0,2.0,1,0,0,0,1,https://tiki.vn/chuot-may-tinh-chuyen-game-drlm066-tang-mieng-lot-chuot-p29641879.html?spid=29641880
21,Chuột máy tính Genius DX-110 - Hàng Chính Hãng,199.0,0,199.0,Thiết Bị Mới,Genius,0.0,0,0,1.0,5.0,1.0,1,0,0,0,0,https://tiki.vn/chuot-may-tinh-genius-dx-110-p124895938.html?spid=129728127
22,"Chuột Máy Tính Chơi Game VINETTEAM G5 , Hiệu Ứng Ánh Sáng 7 Màu Phát Sáng , 6 Nút 4 Tốc Độ Phù Hợp Cho Game Thủ Và Văn Phòng - Hàng Chính Hãng",99.0,0,99.0,vinet shop,VINETTEAM,3.0,Tem bảo hành,Bảo hành bởi nhà bán hàng thông qua Tiki,9.0,4.6,5.0,3,2,0,0,0,https://tiki.vn/chuot-may-tinh-choi-game-vinetteam-g5-hieu-ung-anh-sang-7-mau-phat-sang-6-nut-4-toc-do-phu-hop-cho-game-thu-va-van-phong-hang-chinh-hang-p82855999.html?spid=82856001
23,Chuột máy tính Logitech B100 Đen - Hàng chính hãng,69.0,0,69.0,Nguyễn Kim Official,Logitec,36.0,Phiếu bảo hành,Bảo hành bởi nhà bán hàng thông qua Tiki,0.0,0.0,0,0,0,0,0,0,https://tiki.vn/chuot-may-tinh-logitech-b100-den-p126734052.html?spid=126734053
24,Chuột NEWMEN G7+ - Chuột quang máy tính - Chuột chơi game chất lượng -Hàng Chính Hãng,279.0,0,279.0,Bảo Sơn Computer,Newme,0.0,0,0,0.0,0.0,0,0,0,0,0,0,https://tiki.vn/chuot-newmen-g7-chuot-quang-may-tinh-chuot-choi-game-chat-luong-p125840141.html?spid=125840142
25,Chuột máy tính có dây NEWMEN M266 - Hàng Chính Hãng,126.0,0,126.0,Hạt Gạo Store,Newme,24.0,Điện tử,Bảo hành chính hãng,0.0,0.0,0,0,0,0,0,0,https://tiki.vn/chuot-may-tinh-co-day-newmen-m266-hang-chinh-hang-p111860049.html?spid=111860055
26,Chuột Máy Tính Có Dây Dành Cho Dân Văn Phòng Chuyên Dụng M-100r,109.0,0.07,101.0,,OEM,12.0,Tem bảo hành,Bảo hành bởi nhà bán hàng thông qua Tiki,6.0,4.0,2.0,1,0,1,0,0,https://tiki.vn/chuot-may-tinh-co-day-danh-cho-dan-van-phong-chuyen-dung-m-100r-p116407401.html?spid=122656399
27,Chuột máy tính Chống Mỏi - Chuột Gaming Có Dây Dáng Đứng Bảo Vệ Cổ Tay Loại 5 Nút,199.0,0,199.0,Hùng Dũng 68,OEM,1.0,Hóa đơn,Bảo hành bởi nhà bán hàng thông qua Tiki,20.0,4.2,6.0,4,1,0,0,1,https://tiki.vn/chuot-may-tinh-chong-moi-chuot-gaming-co-day-dang-dung-bao-ve-co-tay-loai-5-nut-p87012976.html?spid=87012986
28,Chuột Máy Tính Văn Phòng Có Dây R8 1607 - Hàng Nhập Khẩu,87.5,0,87.5,Công Nghệ July,R8,0.0,0,0,12.0,4.7,3.0,2,1,0,0,0,https://tiki.vn/chuot-may-tinh-van-phong-co-day-r8-1607-hang-nhap-khau-p31524204.html?spid=53225266
29,Chuột máy tính hình rùa NS 5773 (Giao màu ngẫu nhiên),61.0,0,61.0,TS HCM STORE,OEM,6.0,Hóa đơn,Bảo hành bởi nhà bán hàng thông qua Tiki,0.0,0.0,0,0,0,0,0,0,https://tiki.vn/chuot-may-tinh-hinh-rua-ns-5773-giao-mau-ngau-nhien-p16216946.html?spid=136795018
30,Chuột máy tính,990.0,0,990.0,TKcomputer,OEM,0.0,0,0,0.0,0.0,0,0,0,0,0,0,https://tiki.vn/chuot-may-tinh-p100029834.html?spid=100029835
31,Chuột máy tính Genius DX120 USB - Hàng Chính Hãng,99.0,0,99.0,KoyShop,Genius,12.0,Tem bảo hành,Bảo hành bởi nhà bán hàng thông qua Tiki,59.0,4.8,6.0,5,1,0,0,0,https://tiki.vn/chuot-may-tinh-genius-dx120-usb-hang-chinh-hang-p15589295.html?spid=57397799
